Country,Year,Count,,
HRV,1998,189,,
EST,1992,1430,,
KAZ,1993,919,,
MNE,2012,102,,
MKD,2004,314,,
LVA,1990,1030,,
GBR,2005,276,,
KAZ,1989,719,,
NOR,1996,235,,
FIN,1971,338,,
HUN,1982,589,,
SWE,1976,329,,
UKR,2006,382,,
GBR,1982,194,,
LTU,2006,322,,
RUS,2000,1548,,
KAZ,2003,513,,
MDA,2001,440,,
ISL,2015,223,,
FIN,1997,173,,
TKM,1991,281,,
MNE,1994,513,,
FRA,1993,268,,
GRC,1997,126,,
FIN,1981,222,,
MNE,2002,252,,
ESP,2002,184,,
MLT,1992,0,,
NLD,2012,153,,
HUN,2015,340,,
NLD,2008,154,,
ISR,1998,140,,
NLD,1997,116,,
SVK,1988,699,,
EST,1995,1308,,
SVK,1984,480,,
TJK,2012,39,,
ESP,2014,222,,
KAZ,2014,210,,
TKM,2011,107,,
KGZ,2012,152,,
HUN,1989,734,,
ROU,2014,401,,
LVA,2011,377,,
MKD,2005,295,,
GRC,1995,133,,
SWE,2003,348,,
KGZ,1986,552,,
ISL,1995,192,,
GBR,1994,226,,
FIN,1995,157,,
GBR,2002,281,,
POL,2002,0,,
GRC,2005,153,,
TJK,2004,67,,
ISR,1995,142,,
KGZ,1980,606,,
HUN,2004,552,,
GRC,2006,153,,
NOR,1994,242,,
ISR,1983,158,,
MKD,1997,409,,
FRA,2015,268,,
EST,1993,1527,,
SVK,2004,245,,
HUN,2012,400,,
KAZ,1991,748,,
HRV,1987,821,,
UKR,1980,1532,,
ITA,2014,190,,
GEO,1999,376,,
FIN,1992,166,,
SRB,2005,369,,
EST,1983,1418,,
GBR,1989,236,,
TKM,1993,242,,
FIN,2014,171,,
SVK,1994,519,,
MKD,2006,273,,
EST,1985,1509,,
ISL,2008,198,,
LVA,2004,668,,
SVN,2009,215,,
POL,2005,1,,
MKD,2009,236,,
HRV,2015,80,,
UKR,1998,1017,,
GRC,1983,51,,
LVA,1994,1105,,
FRA,2011,264,,
LVA,2008,427,,
HUN,1978,497,,
GRC,1980,61,,
SVK,1991,666,,
RUS,2013,465,,
RUS,2012,492,,
TUR,2014,34,,
KGZ,2008,104,,
SWE,2015,331,,
SVK,2011,145,,
NOR,2012,253,,
EST,2004,720,,
HUN,1975,496,,
FIN,1974,366,,
POL,1999,0,,
UZB,2010,64,,
GEO,2004,347,,
MDA,2010,365,,
HRV,1983,732,,
LVA,2013,270,,
FIN,1979,250,,
KAZ,2015,205,,
TJK,2014,45,,
ROU,2012,438,,
RUS,2007,809,,
MDA,1996,887,,
TJK,2007,50,,
RUS,1996,1893,,
NLD,2013,156,,
MKD,2013,215,,
EST,1986,1483,,
GBR,2010,251,,
EST,2002,834,,
LTU,2000,476,,
HUN,1997,743,,
